Input_Power,Speed,Output_Power,Efficiency
10.4437320915466,57.6666243593294,1.69218372539745,14.9094727411072
15.8713866528957,90.6549664019205,2.63581626003534,17.4730987935059
18.3022481054729,110.356660747907,3.08709877485549,17.2333224483156
17.9492395382089,116.383692054301,3.15477171402608,17.7502678167455
17.2099904540523,119.510452103173,3.26096498893313,19.4172661479784
15.5886234463592,121.854119554412,3.36539262911406,21.6375917873545
15.4601071886877,124.94239234448,3.49261666165042,22.5877327287033
15.5527612002622,127.222449258133,3.55062651024268,22.8313682059511
15.7298902608711,127.979277489235,3.5537472018648,22.5923180950011
15.8686969489351,129.611933404885,3.57421319999907,22.5233858298753
15.998391585823,130.452219276966,3.61401801382972,22.5909868246166
16.0925188179092,129.545572639424,3.6120327001763,22.4444439753021
16.0801030558176,129.109893243443,3.54363930645963,22.035200184456
16.0114923012905,129.108901559516,3.50809335041673,21.9096210539267
15.9819845004126,130.057554219368,3.52837404904865,22.0758491829981
16.0144202874427,130.541776582569,3.56006865644069,22.2294505109775
16.1135169522804,130.91683737978,3.62677951487595,22.5067363614181
16.2202536531162,130.850957072032,3.59959235774063,22.1941517803248
16.268634151116,130.768202666288,3.59166196574656,22.0775058975031
16.2068633315524,129.661308452151,3.56946134811883,22.0203399368575
16.1116917027297,128.524273101195,3.54434332711663,21.9972397869542
16.0191468769928,127.655028065784,3.53713624305097,22.0798248945567
15.9572697270823,127.547055499791,3.51385363051261,22.0184823585291
15.8631072438086,125.872106842431,3.44944005124641,21.7406905926367
15.7669280155526,125.191092601138,3.44937547784274,21.8759847829271
15.7000473156703,126.529859171283,3.43515627626764,21.8793505697887
15.7296504971314,129.019342588252,3.40517847431009,21.6462766082629
15.8269294317658,129.039537351929,3.45809278731995,21.8453960428083
15.9486784047188,129.283288814396,3.51558939399112,22.0451698882091
16.0583430325915,129.673057836127,3.58373576845381,22.3133933656448
16.2012445142194,130.288773444661,3.66066648687029,22.596321288157
16.3806035123426,131.636753154096,3.62759981989929,22.1492516826835
16.5010591290666,133.234975816984,3.59256307847992,21.7723619214164
16.5220176330455,132.025462118559,3.5983512054961,21.7788820971579
16.5030144432551,130.95187620249,3.62757439082266,21.9804177022575
16.4629939995303,130.488156313496,3.56848313433033,21.6718131745889
16.3747069766585,130.571645065987,3.4809879162182,21.25184209097
16.2031725288599,129.92167329001,3.466625349708,21.4025145467937
16.2081978082227,130.628937525525,3.61273985797878,22.2862227283071
16.4432565422512,132.15739683459,3.66313810485465,22.2875995169533
16.6659704616494,133.501042781731,3.62701529274547,21.7657004709463
16.6907108467982,131.931286967695,3.59231095078681,21.5176871534957
16.5918310364726,129.694613098103,3.58525402281278,21.6052275483328
16.403335897659,128.547432268627,3.54385285852237,21.6045197071067
16.2697914641127,128.378030571174,3.53023429068707,21.6986996607763
16.1612216652791,127.208844855709,3.47912906431918,21.5215685396678
16.0034549841143,125.541013294651,3.42676004815322,21.4104279595692
15.8022939865734,124.250722657667,3.3573129046903,21.2457188906489
15.6954382211005,123.705064703646,3.38804242889607,21.5849260752013
15.682924289995,122.942922335452,3.42084694588093,21.8107228176221
15.6886109737514,123.39556403619,3.38488548424147,21.573196740742
15.6305817458688,123.940012794209,3.34369088761278,21.3926332605631
15.6307206670527,125.120227895299,3.42318208508093,21.8983420883865
15.7480828765191,125.985351245974,3.44884806945601,21.9025320952798
15.8371696605531,126.217521366885,3.39895851016301,21.4627230350449
15.7868577047643,124.93342289853,3.35720745383648,21.2660530582585
15.728756194581,126.638060479086,3.38485146224004,21.5186415349686
15.8032455979325,129.07554888145,3.39277924253427,21.4702852173927
15.9813975191992,129.558903904565,3.47889731161498,21.7613560153905
16.1231705495981,128.979355490936,3.49919787148562,21.7019527703757
16.238280462566,129.986477190441,3.50927914779415,21.6097802344216
16.367032485486,130.817597512902,3.60823616902062,22.0440048538956
16.7012044048155,131.908633296291,3.60345797764684,21.6222038695345
16.7349949848471,131.333640415401,3.54854390573829,21.2371718865093
16.6176567026074,131.2005303597,3.58366676391122,21.5809797269328
16.6144291849843,130.737224414545,3.5882389105972,21.598215733812
16.5963759670024,130.116235197245,3.54274883973287,21.346455754349
16.4537284817874,128.803497715743,3.48291393847984,21.1666365872715
16.3033107943492,128.838711536852,3.41605009163675,20.9515621399751
16.1858227206051,128.967712626068,3.38991703066047,20.943322382939
16.1830528640303,128.312203127483,3.53163094813282,21.8182814238864
16.2574079817699,127.709062660855,3.56390314549599,21.9229097675512
16.2991089443857,127.469611616708,3.48836882702121,21.4012598800587
16.2306529516867,126.703766565579,3.45597200881522,21.2902103079035
16.154482792269,126.955956010999,3.4816624519111,21.547469065608
16.1105655955812,126.103514093251,3.49279854891938,21.678344190338
16.1124559920342,126.515965433315,3.47103530088647,21.5416738075626
16.0991487500486,127.478052508769,3.40634071835508,21.1570698254744
16.0886952325449,128.614060625097,3.40185718360119,21.1419715069901
16.1144123601913,127.968066105795,3.45699850544756,21.4492722573074
16.1972360957929,127.777017383521,3.5137124847822,21.6943743360105
16.2486834631522,127.704812080718,3.4979050812083,21.5269176438421
16.2467385738096,127.460249097513,3.47540479985528,21.3902410884029
16.1886415206995,126.740920610286,3.44561323293146,21.283736507976
16.133455332085,126.749094708893,3.45791825359875,21.4323504229449
16.1181589401224,127.176420077818,3.4684612690301,21.5181439530635
16.1715376069015,128.128672472339,3.49599638614012,21.6167860735587
16.2172817873844,128.698418238698,3.42437346288826,21.1145541147626
16.2277029445681,129.265478340028,3.40015492350121,20.9526239758606
16.2057485391538,129.161449393864,3.43460568160236,21.1937471505833
